accuracy,loss,val_accuracy,val_loss
0.715624988079071,1.9069286584854126,0.5,0.7346662282943726
0.8968750238418579,0.6639617681503296,0.625,0.6622099876403809
0.921875,0.3906031548976898,0.5,1.0081161260604858
0.9593750238418579,0.27948707342147827,0.6625000238418579,0.6035460233688354
0.965624988079071,0.09586907923221588,0.6000000238418579,0.7123509645462036
0.965624988079071,0.17592839896678925,0.5,1.4456783533096313
0.981249988079071,0.062115155160427094,0.5625,1.0592916011810303
0.996874988079071,0.004378450568765402,0.512499988079071,1.3933740854263306
1.0,0.003157602623105049,0.5,2.732759714126587
gá»‰